reviewcontent,reviewtype,topcritic,genres,productioncompany,movieinfo_rottentomatoeslink_movietitle
"The film is ravishing to look at, thanks to the production team's unprecedented access to Versailles, but its frothy charm eventually wears thin.",Rotten,False,"Documentary, Drama",Sony Pictures,"An Austrian teenager (Kirsten Dunst) marries the Dauphin (Jason Schwartzman) of France and becomes that country's queen following the death of King Louis XV (Judy Davis) in 1774. Years later, after a life of luxury and privilege, Marie Antoinette loses her head during the French Revolution.m/1158195-marie_antoinetteMarie Antoinette"
"""Gives """"solid craftsmanship"""" a dreary name""",Rotten,False,"Classics, Drama, Western",Columbia Pictures,"Outlaw Ben Wade (Russell Crowe) terrorizes 1800s Arizona, especially the Southern Railroad, until he is finally captured. Wade must be brought to trial, so Dan Evans (Christian Bale), the owner of a drought-stricken ranch, volunteers to escort him to the train. Along the trail, a grudging respect forms between the men, but danger looms at every turn, and the criminal's men are in pursuit.m/310_to_yuma3:10 to Yuma"
"Gory for the greater glory of the genre, 300: Rise of an Empire delivers what its predecessor promised, with all the skills of the filmmakers focused on gripping our senses and exciting them",Fresh,False,"Action & Adventure, Drama",Warner Bros. Pictures,"While King Leonidas and his 300 Spartans have their date with destiny at Thermopylae, another battle against the Persians is brewing, this time at sea. Themistocles (Sullivan Stapleton), a Greek general, sees the threat posed by the God-King Xerxes of Persia. He knows that he must unite all of Greece if he is to stand any chance of repelling the Persian invasion. Even if he accomplishes his mission, Themistocles must still face Artemisia (Eva Green), the ruthless leader of the Persian armada.m/300_rise_of_an_empire300: Rise of an Empire"
"Unfortunately while Bay has an eye, he's never had an ear, and Chuck Hogan's screenplay is full of clunkers, tough-guy dialogue that seems made strictly for cheap applause.",Rotten,True,"Action & Adventure, Drama",Paramount Pictures,"On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.m/13_hours_the_secret_soldiers_of_benghazi13 Hours: The Secret Soldiers Of Benghazi"
"A smashing horror film, frightening and thrilling.",Fresh,True,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Fox Atomic,"Six months after the original epidemic, the rage virus has all but annihilated the population of the British Isles. Nevertheless the U.S. Army declares the danger past, and American soldiers arrive to restore order and begin reconstruction. Refugees return to British soil, but one of them carries a deadly secret: The virus is not gone and is even more dangerous than before.m/28_weeks_later28 Weeks Later..."
"A movie that's creepy and truly suspenseful in some places, unintentionally comic or plain awful in others.",Rotten,True,"Horror, Science Fiction & Fantasy",Fox Searchlight Pictures,"""A group of misguided animal rights activists free a caged chimp infected with the """"Rage"""" virus from a medical research lab. When London bike courier Jim (Cillian Murphy) wakes up from a coma a month afterm/28_days_later28 Days Later"
"An impressive follow-up to Being John Malkovich, Adaptation is even more playful, amusing, metanarrative and metaphysical than Jonze's first film, + it has Nicolas Cage in a dual role and Meryl Streep in one of her wildest turns.",Fresh,False,"Comedy, Drama",Columbia Pictures,"""Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald (Nicolas Cage). While struggling to adapt """"The Orchid Thiefm/1118700-adaptationAdaptation"
The dialogue and storyline go right where we know they're going.,Rotten,False,Comedy,Warner Bros. Pictures,"A cutting-edge, live action/animated action adventure comedy about one white blood cell's (Chris Rock) race against the biological clock to hunt down and destroy a lethal new virus (Laurence Fishburne). Bill Murray stars as Frank, in whose body the action unfolds.m/osmosis_jonesOsmosis Jones"
I hate my review of Adaptation .,Fresh,False,"Comedy, Drama",Columbia Pictures,"""Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald (Nicolas Cage). While struggling to adapt """"The Orchid Thiefm/1118700-adaptationAdaptation"
"You'll need a pair of hip waders to make your way through the clichs that the actors have to spout: You Can't Trust Anyone, No One Gets Away Clean, and Live It Up Because There Is No God Anyway.",Rotten,False,Drama,Warner Bros. Pictures,"It's the Roaring `20s and Prohibition hasn't stopped the flow of booze in an underground network of gangster-run speakeasies. The opportunity to gain power and money is there for any man with enough ambition and nerve, and Joe Coughlin, the son of the Boston Police superintendent, long ago turned his back on his strict upbringing for the spoils of being an outlaw. But even among criminals there are rules, and Joe breaks a big one: crossing a powerful mob boss by stealing his money and his moll.m/live_by_nightLive By Night"
"""Forget what you know about the earlier """"Die Hard"""" films. This 'Good Day' is not the """"Die Hard",Rotten,False,Action & Adventure,20th Century Fox,"New York City cop John McClane (Bruce Willis) arrives in Moscow to track down his estranged son, Jack (Jai Courtney). McClane thinks his son is a criminal, so it comes as a shock when he learns that Jack is actually working undercover to protect Komarov (Sebastian Koch), a Russian government whistleblower. With their own lives on the line, McClane and Jack must overcome their differences in order to get Komarov to safety and thwart a potentially disastrous crime in the Chernobyl region.m/a_good_day_to_die_hardA Good Day To Die Hard"
Lord and Miller have their cake and eat it. Again. Will they now go for the threepeat?,Fresh,True,"Action & Adventure, Comedy",Sony Pictures,"Although they made their way through high school successfully, an investigation at a local college brings big changes for undercover officers Jenko (Channing Tatum) and Schmidt (Jonah Hill). When Jenko meets a kindred spirit on the football team and Schmidt infiltrates the bohemian art-major scene, both men begin to question their partnership. Not only do they have to crack the case, but now the two overgrown adolescents must learn how to behave like adults.m/22_jump_street22 Jump Street"
I would have been seething if I hadn't been too busy rolling my eyes so hard at all of the characters' atrocious behavior.,Rotten,False,Comedy,Warner Bros. Pictures,"On the last day before summer vacation, high school teacher Andy Campbell tries his best to keep it together amid senior pranks, a dysfunctional administration and budget cuts that threaten his job. Things go from bad to worse when he crosses Ron Strickland, the school's toughest and most feared teacher. When Strickland gets fired, he challenges Campbell to a fight after school. As news of the showdown spreads like wildfire, poor Andy desperately seeks any way out of his date with certain doom.m/fist_fight_2017Fist Fight"
A little pre-Trump paranoia that's a reflection of our collective anxieties delivered as an easily digestible thriller.,Fresh,False,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.m/10_cloverfield_lane10 Cloverfield Lane"
